SbjNum,Latitude,Longitude,Q_6,Q_119_LA,Q_119_LO,CountyNew,COUNTYv1
55793643,-1.859567819,36.15049544,KAJIADO,-1.859304068,36.15005463,KAJIADO,
55786748,-1.859526333,36.15009292,KAJIADO,-1.859526333,36.15009292,KAJIADO,
55793644,-1.859392728,36.14969478,KAJIADO,-1.85975674,36.15107801,KAJIADO,
55786959,-1.860277185,36.16220972,KAJIADO,-1.860277185,36.16220972,KAJIADO,
56064242,0.160129656,34.4443909,KAKAMEGA,0.160129656,34.4443909,KAKAMEGA,
56076900,0.160346594,34.44514035,KAKAMEGA,0.160346594,34.44514035,KAKAMEGA,
56064241,0.162251596,34.44515148,KAKAMEGA,0.162251596,34.44515148,KAKAMEGA,
56076899,0.1620143,34.44543659,KAKAMEGA,0.1620143,34.44543659,KAKAMEGA,
56076898,0.16158072,34.44679799,KAKAMEGA,0.16158072,34.44679799,KAKAMEGA,
56064240,0.161829807,34.44686876,KAKAMEGA,0.161829807,34.44686876,KAKAMEGA,
56076896,0.160733529,34.4475542,KAKAMEGA,0.160733529,34.4475542,KAKAMEGA,
56064243,0.159225087,34.447654,KAKAMEGA,0.159225087,34.447654,KAKAMEGA,
56076897,0.160920187,34.44780526,KAKAMEGA,0.160920187,34.44780526,KAKAMEGA,
56064238,0.160604217,34.44782354,KAKAMEGA,0.160604217,34.44782353,KAKAMEGA,
56076902,0.15842099,34.44798983,KAKAMEGA,0.15842099,34.44798983,KAKAMEGA,
56076901,0.158877953,34.44803124,KAKAMEGA,0.158877953,34.44803124,KAKAMEGA,
56064239,0.160276104,34.44832267,KAKAMEGA,0.160276104,34.44832267,KAKAMEGA,
56064237, , ,KAKAMEGA,0.161132792,34.44836162,KAKAMEGA,
56076895,0.160757303,34.44845275,KAKAMEGA,0.160757303,34.44845275,KAKAMEGA,
56064244,0.159863596,34.44902107,KAKAMEGA,0.159863596,34.44902107,KAKAMEGA,
56076903,0.158903316,34.4497799,KAKAMEGA,0.158903316,34.4497799,KAKAMEGA,
56076904,0.160853914,34.45011952,KAKAMEGA,0.160853914,34.45011952,KAKAMEGA,
56064245,0.160321634,34.45015931,KAKAMEGA,0.160321634,34.45015931,KAKAMEGA,
56064246,0.160398258,34.45041402,KAKAMEGA,0.160398258,34.45041402,KAKAMEGA,
56011316,0.356530373,34.71469906,KAKAMEGA,0.356530373,34.71469906,KAKAMEGA,
56011315,0.354614739,34.71525447,KAKAMEGA,0.354614739,34.71525447,KAKAMEGA,
56011317,0.357810809,34.71551885,KAKAMEGA,0.357810809,34.71551884,KAKAMEGA,
